,Episode,Key,Line,Sender,Recipient,Origin,Destination,Event,Description
0,S01E01 Winter Is Coming,143,- Tell me. - There was a raven from King's Landing.,Robert_Baratheon,Ned_Stark,Kings_Landing,Winterfell,Death,John Arryn's death
1,S01E01 Winter Is Coming,149,The raven brought more news.,Robert_Baratheon,Ned_Stark,Kings_Landing,Winterfell,Movement,Robert Baratheon's arrival to Winterfell
2,S01E02 The Kingsroad,379,I don't trust a raven to carry these words.,NaN,NaN,NaN,NaN,Delete,NaN
3,S01E03 Lord Snow,317,A raven came... for Ned Stark's son.,Robb_Stark,Jon_Snow,Winterfell,The_Wall,Message,NaN
4,S01E03 Lord Snow,323,A raven from Winterfell this morning.,Robb_Stark,Jon_Snow,Winterfell,The_Wall,Message,NaN
5,"S01E04 Cripples, Bastards, And Broken Things",323,"Yes, women, cravens...",NaN,NaN,NaN,NaN,Delete,NaN
6,"S01E04 Cripples, Bastards, And Broken Things",398,Get a message to this paragon of yours - discreetly.,Robert_Baratheon,Jory_Cassel,Kings_Landing,Kings_Landing,Investigation,Look into Arryn's death
7,"S01E04 Cripples, Bastards, And Broken Things",478,Can I leave this with you? The message from Lord Stark.,Jory_Cassel,Jaime_Lannister,Kings_Landing,Kings_Landing,Message,Message from Eddard intended for Robert Baratheon
8,S01E06 A Golden Crown,233,If you deliver a message from me...,Tyrion_Lannister,Lady_Arryn,The_Vale,The_Vale,Message,Message from Tyrion to Lady Arryn while in captivity
9,S01E06 A Golden Crown,236,If you deliver the message...,Tyrion_Lannister,Lady_Arryn,The_Vale,The_Vale,Message,Message from Tyrion to Lady Arryn while in captivity
10,S01E06 A Golden Crown,238,What message?,Tyrion_Lannister,Lady_Arryn,The_Vale,The_Vale,Message,Message from Tyrion to Lady Arryn while in captivity
11,S01E06 A Golden Crown,29,You hear me? Send a raven and put an end to it.,,,,,,
12,S01E06 A Golden Crown,321,Send a raven for him. I'm happy to wait.,,,,,,
13,S01E06 A Golden Crown,40,Piss on that. Send a raven. I want you to stay.,,,,,,
14,S01E06 A Golden Crown,409,Send a raven to Casterly Rock.,,,,,,
15,S01E08 The Pointy End,107,A raven from King's Landing.,,,,,,
16,S01E09 Baelor,183,There was a raven.,,,,,,
17,S01E09 Baelor,184,I read the message to Maester Aemon.,,,,,,
18,S01E09 Baelor,258,What could I do when the ravens brought the news from the South...,,,,,,
19,S01E09 Baelor,60,It's a birthday message to his grand-niece Walda.,,,,,,
20,S01E10 Fire And Blood,316,They'll send out ravens. People will come after you.,,,,,,
21,S02E01 The North Remembers,426,"and my bannerman would receive a raven with a message,",,,,,,
22,S02E01 The North Remembers,440,Stannis Baratheon sent ravens to all the high lords of Westeros.,,,,,,
23,S02E01 The North Remembers,72,"A raven arrived from the citadel this morning, Your Grace.",,,,,,
24,S02E02 The Night Lands,123,A raven flew in this morning from Castle Black.,,,,,,
25,S02E02 The Night Lands,537,like a trained raven clutching his message.,,,,,,
26,S02E04 Garden Of Bones,101,So we'll have to send your brother a message some other way.,,,,,,
27,S02E04 Garden Of Bones,98,Killing you would send your brother a message.,,,,,,
28,S02E05 The Ghost Of Harrenhal,200,He hasn't sent a raven in weeks.,,,,,,
29,S02E05 The Ghost Of Harrenhal,608,I did ask him. He'd never heard of a three-eyed raven.,,,,,,
30,S02E05 The Ghost Of Harrenhal,616,"So, you've been dreaming of a three-eyed raven again?",,,,,,
31,S02E05 The Ghost Of Harrenhal,634,"The three-eyed raven,",,,,,,
32,S02E06 The Old Gods And The New,45,"Maester Luwin, send a raven to Pyke",,,,,,
33,S02E06 The Old Gods And The New,53,Send the ravens.,,,,,,
34,S02E06 The Old Gods And The New,638,"We've had ravens from White Harbour,",,,,,,
35,S02E07 A Man Without Honor,648,How many times can you read one raven scroll?,,,,,,
36,S02E08 The Prince Of Winterfell,40,We've killed all the ravens.,,,,,,
37,S02E08 The Prince Of Winterfell,497,We've sent a dozen ravens. None have returned.,,,,,,
38,S02E08 The Prince Of Winterfell,753,I'd leave 'em up a few more days. Sends a message.,,,,,,
39,S02E08 The Prince Of Winterfell,754,"If they haven't got the damn message yet, a few more days won't help.",,,,,,
40,S02E10 Valar Morghulis,297,Send more ravens.,,,,,,
41,S02E10 Valar Morghulis,298,You killed all the ravens.,,,,,,
42,S03E01 Valar Dohaeris,3,Did you send the ravens?,,,,,,
43,S03E01 Valar Dohaeris,5,Did you send the ravens?,,,,,,
44,"S03E02 Dark Wings, Dark Words",12,"No, it was the three-eyed raven.",,,,,,
45,"S03E02 Dark Wings, Dark Words",23,The three-eyed raven tell you?,,,,,,
46,"S03E02 Dark Wings, Dark Words",661,A three-eyed raven?,,,,,,
47,"S03E02 Dark Wings, Dark Words",665,"No, the raven is something different, something deeper.",,,,,,
48,"S03E02 Dark Wings, Dark Words",666,The raven brings the sight.,,,,,,
49,"S03E02 Dark Wings, Dark Words",7,Because the raven is you.,,,,,,
50,S03E07 The Bear And The Maiden Fair,563,Talking about visions and three-eyed ravens and worse.,,,,,,
51,S03E07 The Bear And The Maiden Fair,577,Bran needs to find the raven beyond the Wall.,,,,,,
52,S03E07 The Bear And The Maiden Fair,581,The raven's been coming to me ever since I fell from that tower.,,,,,,
53,S03E07 The Bear And The Maiden Fair,592,But the Gods wouldn't spare a raven's cold shit for you or me or anyone.,,,,,,
54,S03E07 The Bear And The Maiden Fair,648,You were in charge of the ravens at Harrenhal.,,,,,,
55,S03E09 The Rains Of Castamere,370,I have to find the three-eyed raven.,,,,,,
56,S03E10 Mhysa,225,"I heard he killed all the ravens. And after that, nothing.",,,,,,
57,S03E10 Mhysa,605,We had 44 ravens at last count.,,,,,,
58,S04E03 Breaker Of Chains,404,#NAME?,,,,,,
59,S04E05 First Of His Name,492,Carried his messages and returned the replies.,,,,,,
60,S04E05 First Of His Name,623,Do you want to find the three-eyed raven?,,,,,,
61,S04E10 The Children,352,We'll rest with the three-eyed raven.,,,,,,
62,S04E10 The Children,379,You're the three-eyed raven?,,,,,,
63,S05E01 The Wars To Come,145,The Sons of the Harpy will hear that message.,,,,,,
64,S05E02 The House Of Black And White,314,It would send a message.,,,,,,
65,S05E02 The House Of Black And White,48,"Before we left, a maester gave you a raven scroll.",,,,,,
66,S05E03 High Sparrow,606,- Your Grace. - <i> Send a raven with this message</i>,,,,,,
67,S05E03 High Sparrow,657,A message for you from Cersei Lannister.,,,,,,
68,S05E03 High Sparrow,660,A message for me you say?,,,,,,
69,S05E05 Kill The Boy,197,I need to get a message to her.,,,,,,
70,"S05E06 Unbowed, Unbent, Unbroken",275,Something so urgent I couldn't trust the words to a raven.,,,,,,
71,S05E07 The Gift,365,By raven or horse?,,,,,,
72,S05E08 Hardhome,538,wanted to burn him alive to send us a message.,,,,,,
73,S05E09 The Dance Of Dragons,102,"And rather than send a raven or speak to me directly,",,,,,,
74,S05E09 The Dance Of Dragons,105,We received a threatening message.,,,,,,
