,Episode,Key,Line,Sender,Recipient,Origin,Destination,Event,Description
0,S01E01 Winter Is Coming,143,- Tell me. - There was a raven from King's Landing.,Robert_Baratheon,Ned_Stark,Kings_Landing,Winterfell,Death,John Arryn's death
1,S01E01 Winter Is Coming,149,The raven brought more news.,Robert_Baratheon,Ned_Stark,Kings_Landing,Winterfell,Movement,Robert Baratheon's arrival to Winterfell
2,S01E02 The Kingsroad,379,I don't trust a raven to carry these words.,NaN,NaN,NaN,NaN,Delete,NaN
3,S01E03 Lord Snow,317,A raven came... for Ned Stark's son.,Robb_Stark,Jon_Snow,Winterfell,Castle_Black,Message,NaN
4,S01E03 Lord Snow,323,A raven from Winterfell this morning.,Robb_Stark,Jon_Snow,Winterfell,Castle_Black,Message,NaN
5,"S01E04 Cripples, Bastards, And Broken Things",323,"Yes, women, cravens...",NaN,NaN,NaN,NaN,Delete,NaN
6,"S01E04 Cripples, Bastards, And Broken Things",398,Get a message to this paragon of yours - discreetly.,Robert_Baratheon,Jory_Cassel,Kings_Landing,Kings_Landing,Investigation,Look into Arryn's death
7,"S01E04 Cripples, Bastards, And Broken Things",478,Can I leave this with you? The message from Lord Stark.,Jory_Cassel,Jaime_Lannister,Kings_Landing,Kings_Landing,Message,Message from Eddard intended for Robert Baratheon
8,S01E06 A Golden Crown,233,If you deliver a message from me...,Tyrion_Lannister,Lady_Arryn,The_Vale,The_Vale,Message,Message from Tyrion to Lady Arryn while in captivity
9,S01E06 A Golden Crown,236,If you deliver the message...,Tyrion_Lannister,Lady_Arryn,The_Vale,The_Vale,Message,Message from Tyrion to Lady Arryn while in captivity
10,S01E06 A Golden Crown,238,What message?,Tyrion_Lannister,Lady_Arryn,The_Vale,The_Vale,Message,Message from Tyrion to Lady Arryn while in captivity
11,S01E06 A Golden Crown,29,You hear me? Send a raven and put an end to it.,NaN,NaN,NaN,NaN,Delete,NaN
12,S01E06 A Golden Crown,321,Send a raven for him. I'm happy to wait.,Tyrion_Lannister,Jaime_Lannister,The_Vale,Kings_Landing,Message,Failed request to fight in his stead
13,S01E06 A Golden Crown,40,Piss on that. Send a raven. I want you to stay.,Ned_Stark,Catelyn_Stark,Kings_Landing,Winterfell,Message,Request to return Tyrion Lannister
14,S01E06 A Golden Crown,409,Send a raven to Casterly Rock.,Ned_Stark,Tywin_Lannister,Kings_Landing,Casterly_Rock,Message,Request Tywin's presence to account for the crimes of his bannermen.
15,S01E08 The Pointy End,107,A raven from King's Landing.,Unknown,Jon_Snow,Kings_Landing,Castle_Black,Death,News. King Robert is dead. Ned Stark charged
16,S01E09 Baelor,183,There was a raven.,Robb_Stark,Jon_Snow,Winterfell,Castle_Black,Message,News. Robb is off to war against the Lannisters
17,S01E09 Baelor,184,I read the message to Maester Aemon.,Robb_Stark,Jon_Snow,Winterfell,Castle_Black,Message,News. Robb is off to war against the Lannisters
18,S01E09 Baelor,258,What could I do when the ravens brought the news from the South...,Unknown,Maester_Aemon,The_South,Citadel,Death,Receives news of his family's demise
19,S01E09 Baelor,60,It's a birthday message to his grand-niece Walda.,Walder_Frey,Robb_Stark,The_Twins,Riverlands,Message,Message intercepted. Walder Frey birthday message to grand-niece Wanda
20,S01E10 Fire And Blood,316,They'll send out ravens. People will come after you.,NaN,NaN,NaN,NaN,Delete,NaN
21,S02E01 The North Remembers,426,"and my bannerman would receive a raven with a message,",Tywin_Lannister,Stark_bannerman,Kings_Landing,Riverlands,Message,Jaime goads Robb into lax security
22,S02E01 The North Remembers,440,Stannis Baratheon sent ravens to all the high lords of Westeros.,Stannis_Baratheon,High_Lords,Dragonstone,Westeros,Message,Stannis requests reinforcements to take back the throne
23,S02E01 The North Remembers,72,"A raven arrived from the citadel this morning, Your Grace.",Conclave,Maester_Pycelle,Citadel,Kings_Landing,Message,Conclave concludes a long summer is likely
24,S02E02 The Night Lands,123,A raven flew in this morning from Castle Black.,Jeor_Momont,Maester_Pycelle,Castle_Black,Kings_Landing,Message,Lord Commander requesting more men
25,S02E02 The Night Lands,537,like a trained raven clutching his message.,Robb_Stark,Balon_Greyjoy,Riverlands,Iron_Islands,Message,Robb Stark asks the Greyjoys for their support
26,S02E04 Garden Of Bones,101,So we'll have to send your brother a message some other way.,Joffrey_Lannister,Sansa_Stark,Kings_Landing,Kings_Landing,Message,Joffrey threatens to kill Sansa.
27,S02E04 Garden Of Bones,98,Killing you would send your brother a message.,Joffrey_Lannister,Sansa_Stark,Kings_Landing,Kings_Landing,Message,Joffrey threatens to kill Sansa.
28,S02E05 The Ghost Of Harrenhal,200,He hasn't sent a raven in weeks.,Tywin_Lannister,Jaime_Lannister,Riverlands,Kings_Landing,Message,Correspondence on the war with the North
29,S02E05 The Ghost Of Harrenhal,608,I did ask him. He'd never heard of a three-eyed raven.,Rodrik_Cassel,Ned_Stark,Winterfell,Winterfell,Conversation,Rodrik (winterfell's MoA) asked Ned about the three-eyed raven
30,S02E05 The Ghost Of Harrenhal,616,"So, you've been dreaming of a three-eyed raven again?",Rodrik_Cassel,Ned_Stark,Winterfell,Winterfell,Conversation,Rodrik (winterfell's MoA) asked Ned about the three-eyed raven
31,S02E05 The Ghost Of Harrenhal,634,"The three-eyed raven,",Rodrik_Cassel,Ned_Stark,Winterfell,Winterfell,Conversation,Rodrik (winterfell's MoA) asked Ned about the three-eyed raven
32,S02E06 The Old Gods And The New,45,"Maester Luwin, send a raven to Pyke",Theon_Greyjoy,Balon_Greyjoy,Winterfell,Iron_Islands,Message,Theon betrays the Starks
33,S02E06 The Old Gods And The New,53,Send the ravens.,Theon_Greyjoy,Maester_Luwin,Winterfell,Iron_Islands,Message,Theon orders Maester Luwin of Winterfell
34,S02E06 The Old Gods And The New,638,"We've had ravens from White Harbour,",Northern_Lords,Robb_Stark,White_Harbor,Riverlands,Death,Rodrik is dead. Winterfell falls to Theon.
35,S02E07 A Man Without Honor,648,How many times can you read one raven scroll?,NaN,Jaime_Lannister,Tarth,Kings_Landing,Movement,Stannis' ships have been spotted moving north past Tarth
36,S02E08 The Prince Of Winterfell,40,We've killed all the ravens.,NaN,NaN,NaN,NaN,Delete,NaN
37,S02E08 The Prince Of Winterfell,497,We've sent a dozen ravens. None have returned.,Robb_Stark,Maester_Luwin,Riverlands,Winterfell,Message,Robb Stark inquiring about state of Winterfell
38,S02E08 The Prince Of Winterfell,753,I'd leave 'em up a few more days. Sends a message.,NaN,NaN,NaN,NaN,Delete,NaN
39,S02E08 The Prince Of Winterfell,754,"If they haven't got the damn message yet, a few more days won't help.",NaN,NaN,NaN,NaN,Delete,NaN
40,S02E10 Valar Morghulis,297,Send more ravens.,Theon_Greyjoy,Balon_Greyjoy,Winterfell,Iron_Islands,Message,Theon sends word to his father
41,S02E10 Valar Morghulis,298,You killed all the ravens.,NaN,NaN,NaN,NaN,Delete,NaN
