,Episode,quote_season,quote_episode,Key,Line,Sender,Recipient,Origin,Destination,Event,Description
0,S01E01 Winter Is Coming,1,1,143,Tell me. - There was a raven from King's Landing.,Robert Baratheon,Ned Stark,Kings Landing,Winterfell,Death,John Arryn's death
1,S01E01 Winter Is Coming,1,1,149,The raven brought more news.,Robert Baratheon,Ned Stark,Kings Landing,Winterfell,Movement,Robert Baratheon's arrival to Winterfell
2,S01E02 The Kingsroad,1,2,379,I don't trust a raven to carry these words.,NaN,NaN,NaN,NaN,Delete,NaN
3,S01E03 Lord Snow,1,3,317,A raven came... for Ned Stark's son.,Robb Stark,Jon Snow,Winterfell,Castle Black,Message,NaN
4,S01E03 Lord Snow,1,3,323,A raven from Winterfell this morning.,Robb Stark,Jon Snow,Winterfell,Castle Black,Message,NaN
5,"S01E04 Cripples, Bastards, And Broken Things",1,4,323,"Yes, women, cravens...",NaN,NaN,NaN,NaN,Delete,NaN
6,"S01E04 Cripples, Bastards, And Broken Things",1,4,398,Get a message to this paragon of yours - discreetly.,Robert Baratheon,Jory Cassel,Kings Landing,Kings Landing,Investigation,Look into Arryn's death
7,"S01E04 Cripples, Bastards, And Broken Things",1,4,478,Can I leave this with you? The message from Lord Stark.,Jory Cassel,Jaime Lannister,Kings Landing,Kings Landing,Message,Message from Eddard intended for Robert Baratheon
8,S01E06 A Golden Crown,1,6,233,If you deliver a message from me...,Tyrion Lannister,Lady Arryn,The Vale,The Vale,Message,Message from Tyrion to Lady Arryn while in captivity
9,S01E06 A Golden Crown,1,6,236,If you deliver the message...,Tyrion Lannister,Lady Arryn,The Vale,The Vale,Message,Message from Tyrion to Lady Arryn while in captivity
10,S01E06 A Golden Crown,1,6,238,What message?,Tyrion Lannister,Lady Arryn,The Vale,The Vale,Message,Message from Tyrion to Lady Arryn while in captivity
11,S01E06 A Golden Crown,1,6,29,You hear me? Send a raven and put an end to it.,NaN,NaN,NaN,NaN,Delete,NaN
12,S01E06 A Golden Crown,1,6,321,Send a raven for him. I'm happy to wait.,Tyrion Lannister,Jaime Lannister,The Vale,Kings Landing,Message,Failed request to fight in his stead
13,S01E06 A Golden Crown,1,6,40,Piss on that. Send a raven. I want you to stay.,Ned Stark,Catelyn Stark,Kings Landing,Winterfell,Message,Request to return Tyrion Lannister
14,S01E06 A Golden Crown,1,6,409,Send a raven to Casterly Rock.,Ned Stark,Tywin Lannister,Kings Landing,Casterly Rock,Message,Request Tywin's presence to account for the crimes of his bannermen.
15,S01E08 The Pointy End,1,8,107,A raven from King's Landing.,Unknown,Jon Snow,Kings Landing,Castle Black,Death,News. King Robert is dead. Ned Stark charged
16,S01E09 Baelor,1,9,183,There was a raven.,Robb Stark,Jon Snow,Winterfell,Castle Black,Message,News. Robb is off to war against the Lannisters
17,S01E09 Baelor,1,9,184,I read the message to Maester Aemon.,Robb Stark,Jon Snow,Winterfell,Castle Black,Message,News. Robb is off to war against the Lannisters
18,S01E09 Baelor,1,9,258,What could I do when the ravens brought the news from the South...,Unknown,Maester Aemon,The South,Citadel,Death,Receives news of his family's demise
19,S01E09 Baelor,1,9,60,It's a birthday message to his grand-niece Walda.,Walder Frey,Robb Stark,The Twins,Riverlands,Message,Message intercepted. Walder Frey birthday message to grand-niece Wanda
